,brand,current_price,old_price,discount,description,ratings,times_reviewed,ROM,RAM,mAh,camera,total_camera,screen_size(inch),star
374,Gionee,69900,69900,0,"M7 (6GB, 64GB ROM) 4000mAh, 16MP Android 7.1 Dual Sim 4G  - Black",60,2,64.0,6.0,4000.0,16MP,16.0,6.0,3.0
375,Doogee,59460,101271,41,S60 Lite 4GB+32GB 5580mAh Battery 5.2 Inch Android 7.0 MTK6750T Octa Core Up To 1.5GHz 4G(Silver),80,2,32.0,4.0,5580.0,,21.0,5.2,4.0
376,Gionee,36000,100000,64,"S11 Lite 5.7-Inch HD 18:9 Full Screen Mobile Phone 4GB,32GB ROM Android 7.1  4G LTE Fingerprint ID Smartphone - Gold",84,6,32.0,4.0,,,21.0,5.7,4.5
378,LG,34999,199999,83,Smart Phone， LG G4 4G LTE H815 Mobile Phone Hexa Core 5.5 Inch 16.0MP Camera 3GB+32GB-White,100,1,32.0,3.0,,16.0MP,16.0,5.5,5.0
379,LG,89000,89000,0,G6 VS988 Snapdragon 821 Dual Rear Camera 5.7'' 4GB+32GB+64GB  LTE 4G Single SIM - Blue 32GB,100,1,32.0,4.0,,,21.0,5.7,5.0
380,Ulefone,186000,265714,30,"Armor 7 Rugged Phone, 8GB+128GB, 6.3 Inch Android 9.0 4G Smartphone - Black",100,1,128.0,8.0,,,21.0,6.3,5.0
381,Gionee,69000,229999,70,"M7 Power (4GB, 64GB ROM) 5000mAh, 13MP+8MP, Android 7.1, Dual Sim 4G LTE - Black",100,2,64.0,4.0,5000.0,13MP+8MP,21.0,6.0,5.0
382,Itel,400,400,0,"5625 Triple Sim Card, Loud Speaker, Rear Camera 1.3MP, 2.8 Screen, 2500 MAh, 8MB ROM + 8MB Ram Up To 32GB",80,1,32.0,4.0,2500.0,1.3MP,4.0,6.0,4.0
383,Lenovo,51910,51910,0, K5 K350t 5.7'' Mobile Phone 3GB RAM 32GB ROM MT6750 Octa-core Smartphone,20,1,32.0,3.0,,,21.0,5.7,1.0
384,LG,79900,79900,0,"G6 5.7"" (4GB , 32GB) 4G Single SIM , Android 7 , Dual13MP - Blue",100,1,32.0,4.0,,13MP,13.0,5.7,5.0
385,Ulefone,42120,60171,30,Note 7P 3GB+32GB 6.1 Inch Waterdrop Screen Android 9.0 4G Smartphone - Black,100,1,32.0,3.0,,,21.0,6.1,5.0
386,Homtom,45800,76334,40,"HOMTOM ZOJI Z33 IP68 Waterproof 5.85"" Full Display Smartphone Quad Core 3GB+32GB 4600mAh Face ID 4G Mobile Phone(Orange)",100,1,32.0,3.0,4600.0,,21.0,5.85,5.0
387,Blackview,164600,235143,30,"BV9700 Pro, 6GB+128GB, With Night Vision, 5.84 Inch Android 9.0 Pie, 4380mAh Battery, 4G Smartphone - Tarnish",100,1,128.0,6.0,4380.0,,21.0,5.84,5.0
388,Samsung,180000,180000,0,"Galaxy Note 8 6.3-Inch QHD (6GB,64GB ROM), (12MP + 12MP) + 8MP 4G LTE Smartphone - Blue",20,1,64.0,6.0,,12MP+12MP+8MP,32.0,6.3,1.0
389,Samsung,115056,150900,24,"Galaxy A60 6GB+64GB 6.3"" 32MP Triple Cameras Snapdragon 675 Octa Core Fingerprint Unlock 15W QC 3500mAh-Black",87,6,64.0,6.0,3500.0,32MP,32.0,6.3,4.5
390,ZTE,36000,36000,0,ZTE Blade A520 Smart Phone 1GB+8GB 5.0 Inch Quad Core Android 6.0 Dual SIM 8MP Cellphone,80,1,8.0,1.0,,8MP,8.0,5.0,4.0
391,Doogee,71900,100099,28,"N100, 4GB+64GB, 5.99 Inch Android 9.0 Pie MTK6763 Helio P23 Octa Core Up To 2.0GHz",100,1,64.0,4.0,,,21.0,5.99,5.0
392,Gionee,42250,78690,46,"S11 Lite 5.7 Inch HD (4GB,64GB ROM) Android 7.1 13MP + 16MP, Hybrid Dual SIM 4G LTE Fingerprint ID Smartphone - Black",90,2,64.0,4.0,,13MP+16MP,29.0,5.7,4.5
393,Huawei,129229,162380,20,"Y9 (2019) 6GB+128GB 6.5"" 16MP+2MP AI Dual Camera Kirin 710 Octa Core Fingerprint Unlock Dual SIM 4000mAh-Blue",80,2,128.0,6.0,4000.0,16MP+2MP,18.0,6.5,4.0
